[TRACK_SEGMENTS]
5,1,8,2
4,1,1,2
6,2,8,3
7,3,8,3
8,4,8,3
9,5,13,3
11,1,1,2
10,5,3,2
10,4,3,2
10,3,3,2
10,2,3,2
10,1,3,2
6,1,12,2
7,1,12,2
8,1,12,2
9,1,12,2
7,2,12,2
8,2,12,2
9,2,12,2
8,3,12,2
9,3,12,2
9,4,12,2
12,1,13,7
13,2,8,7
14,3,8,7
15,4,8,7
16,5,8,6
11,2,1,2
11,3,1,2
11,4,1,2
11,5,1,2
12,2,12,2
12,3,12,2
13,3,12,2
12,4,12,2
13,4,12,2
14,4,12,2
12,5,12,2
13,5,12,2
14,5,12,2
15,5,12,2
17,5,1,2
19,5,12,2
3,1,2,2
18,5,3,2
18,4,0,0
3,2,0,0
20,5,0,2
21,5,12,2
22,5,12,2
2,1,12,2
1,1,12,2
34,14,8,2
35,15,12,3
35,15,12,1
34,16,8,2
36,14,8,6
36,16,8,6
37,14,8,2
37,16,8,2
38,16,12,2
38,14,8,2
39,15,13,3
38,13,13,6
38,17,13,3
39,13,12,2
39,14,12,2
39,16,12,2
39,17,12,2
40,13,12,2
40,14,12,2
40,15,12,2
40,16,12,2
40,17,12,2
41,13,1,2
42,13,3,2
41,14,1,2
42,14,3,2
41,15,1,2
42,15,3,2
41,16,1,2
42,16,3,2
41,17,1,2
42,17,3,2
35,14,12,2
35,16,12,2
33,14,12,2
32,14,12,2
33,16,12,2
32,16,12,2
31,14,12,2
31,16,12,2
30,16,1,2
30,14,1,2
29,14,3,2
29,16,3,2

[IO]
1,8,0,0
1,1,1,0
2,8,0,0
3,8,0,0
4,8,0,0
3,1,3,0
7,3,23,15
6,3,22,14
5,3,21,13
4,3,20,12
3,3,19,11
5,8,0,0
6,8,0,0
7,8,0,0
8,8,0,0
4,1,4,0
5,1,5,0
6,1,6,0
7,1,7,0
2,1,2,0
1,2,17,9
2,3,18,10
0,0,0,1
0,0,0,1
0,0,10,0
0,8,0,0
0,8,0,0
0,8,0,0
0,8,0,0
0,8,0,0
0,8,0,0
0,8,0,0
3,1,0,0
3,3,0,0
4,1,0,0
4,3,0,0
5,1,0,0
5,3,0,0
6,1,0,0
6,3,0,0
7,1,0,0
7,3,0,0
2,1,0,0
1,1,0,0
1,3,0,0
2,3,0,0
